Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
53,17,15/02/2018 01:52:59,3260,1,1,41,193,41,41,41.0,0.0,193,193,193.0,0.0,71779.1411042945,613.4969325153,3260.0,0.0,3260,3260,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,306.7484662577,306.7484662577,41,193,91.6666666667,87.7572409168,7701.3333333333,0,0,0,0,0,0,0,0,1,137.5,41.0,193.0,0,0,0,0,0,0,1,41,1,193,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,15/02/2018 09:37:52,11994739,4,4,628,972,628,0,157.0,314.0,972,0,243.0,486.0,133.391814528,0.6669590726,1713534.14285714,2981583.74182047,6990567,3,6992298,2330766.0,4035736.42937779,6990833,292,11994736,3998245.33333333,3601192.10819755,6990567,1466,0,0,0,0,136,136,0.3334795363,0.3334795363,0,972,177.7777777778,363.0983949902,131840.444444444,0,0,0,1,0,0,0,0,1,200.0,157.0,243.0,0,0,0,0,0,0,4,628,4,972,26883,220,1,32,1469.0,0.0,1469,1469,6990567.0,0.0,6990567,6990567,DoS attacks-GoldenEye
443,6,15/02/2018 02:52:02,116231594,23,18,1654,3956,635,0,71.9130434783,184.6586317416,1460,0,219.7777777778,455.8533762665,48.2657064825,0.3527440224,2905789.85,4521456.11130469,10169443,13,116231594,5283254.27272727,5014787.21183579,10209964,18,111219074,6542298.47058824,4945328.28175813,10209925,19,0,0,0,0,472,504,0.1978807931,0.1548632294,0,1460,133.5714285714,332.0983650092,110289.324041812,0,0,0,1,0,0,0,0,0,136.8292682927,71.9130434783,219.7777777778,0,0,0,0,0,0,23,1654,18,3956,8192,1026,16,20,63486.7272727273,99953.7775565195,363734,22876,10045734.8181818,57668.1487492323,10169443,9952875,Benign
3389,6,14/02/2018 02:14:47,3860072,8,7,1138,1581,677,0,142.25,227.7465696778,1173,0,225.8571428571,430.0986044197,704.3910061781,3.8859378789,275719.428571429,361673.313572582,953120,90,3860072,551438.857142857,574599.616910311,1619304,25778,3250554,541759.0,370824.737949345,953120,152722,0,0,0,0,172,152,2.0725002021,1.8134376768,0,1173,169.9375,319.3627965705,101992.595833333,0,0,0,1,0,0,0,0,0,181.2666666667,142.25,225.8571428571,0,0,0,0,0,0,8,1138,7,1581,8192,62862,5,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
52514,6,16/02/2018 01:47:27,4399640,5,4,935,748,935,0,187,418.1447118,374,0,187,215.9290007,382.531298,2.045621915,549955,1425759.928,4074118,4,4399640,1099910,1986918.528,4074125,27,287803,95934.33333,104104.6879,206802,263,0,0,0,0,168,136,1.136456619,0.909165295,0,935,168.3,311.0427088,96747.56667,0,0,0,0,1,0,0,0,0,187,187,187,0,0,0,0,0,0,5,935,4,748,237,211,1,32,0,0,0,0,0,0,0,0,Benign
53,17,14/02/2018 08:29:17,55234,1,1,31,90,31,31,31.0,0.0,90,90,90.0,0.0,2190.6796538364,36.2095810551,55234.0,0.0,55234,55234,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,18.1047905276,18.1047905276,31,90,50.6666666667,34.0636658822,1160.3333333333,0,0,0,0,0,0,0,0,1,76.0,31.0,90.0,0,0,0,0,0,0,1,31,1,90,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,14/02/2018 11:30:09,5191556,4,4,97,232,97,0,24.25,48.5,232,0,58.0,116.0,63.3721373708,1.5409638266,741650.857142857,1935150.14690329,5129887,39,61669,20556.3333333333,35284.2479632673,61299,118,5191343,1730447.66666667,2994576.92799773,5188287,372,0,0,0,0,92,92,0.7704819133,0.7704819133,0,232,36.5555555556,80.0048609634,6400.7777777778,0,0,0,1,0,0,0,0,1,41.125,24.25,58.0,0,0,0,0,0,0,4,97,4,232,8192,141,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
21,6,14/02/2018 11:33:16,1,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2000000.0,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,1000000.0,1000000.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,FTP-BruteForce
21,6,16/02/2018 10:36:09,3,1,1,0,0,0,0,0,0,0,0,0,0,0,666666.6667,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,333333.3333,333333.3333,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0,0,0,0,0,0,0,0,DoS attacks-SlowHTTPTest
80,6,16/02/2018 01:46:13,25977,2,0,0,0,0,0,0,0,0,0,0,0,0,76.99118451,25977,0,25977,25977,25977,25977,0,25977,25977,0,0,0,0,0,0,0,0,0,64,0,76.99118451,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,DoS attacks-Hulk
3389,6,14/02/2018 10:03:35,1969651,8,7,1144,1581,677,0,143.0,227.9699228282,1173,0,225.8571428571,430.0986044197,1383.493827079,7.6155623509,140689.357142857,245843.187773021,953121,2,1969651,281378.714285714,393447.032190151,1163131,2,1820474,303412.333333333,319178.807727999,953121,157390,0,0,0,0,172,152,4.0616332538,3.5539290971,0,1173,170.3125,319.402717323,102018.095833333,0,0,1,1,0,0,0,1,0,181.6666666667,143.0,225.8571428571,0,0,0,0,0,0,8,1144,7,1581,8192,62856,5,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,6,15/02/2018 03:45:32,69547210,14,11,6146,4897,1429,0,439.0,512.0396619253,1460,0,445.1818181818,562.2139838499,158.7842272896,0.3594680506,2897800.41666667,12288446.6682083,59951109,1,69547210,5349785.38461538,16589775.104184,59951109,229,9517016,951701.6,2847552.2049173,9054061,1,0,0,0,0,292,232,0.2013021083,0.1581659422,0,1460,424.7307692308,519.8881847238,270283.724615385,0,0,0,1,0,0,0,0,0,441.72,439.0,445.1818181818,0,0,0,0,0,0,14,6146,11,4897,8192,513,8,20,471223.0,0.0,471223,471223,8970429.0,0.0,8970429,8970429,Benign
21,6,14/02/2018 11:28:52,2,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1000000.0,2.0,0.0,2,2,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,500000.0,500000.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,FTP-BruteForce
80,6,16/02/2018 01:45:36,504,2,0,0,0,0,0,0,0,0,0,0,0,0,3968.253968,504,0,504,504,504,504,0,504,504,0,0,0,0,0,0,0,0,0,64,0,3968.253968,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,DoS attacks-Hulk
80,6,16/02/2018 01:46:57,970,2,0,0,0,0,0,0,0,0,0,0,0,0,2061.85567,970,0,970,970,970,970,0,970,970,0,0,0,0,0,0,0,0,0,64,0,2061.85567,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,DoS attacks-Hulk
53,17,14/02/2018 10:40:34,285,1,1,28,108,28,28,28.0,0.0,108,108,108.0,0.0,477192.98245614,7017.5438596491,285.0,0.0,285,285,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,3508.7719298246,3508.7719298246,28,108,54.6666666667,46.1880215352,2133.3333333333,0,0,0,0,0,0,0,0,1,82.0,28.0,108.0,0,0,0,0,0,0,1,28,1,108,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,16/02/2018 01:47:13,2866,2,0,0,0,0,0,0,0,0,0,0,0,0,697.8367062,2866,0,2866,2866,2866,2866,0,2866,2866,0,0,0,0,0,0,0,0,0,64,0,697.8367062,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,DoS attacks-Hulk
80,6,15/02/2018 11:14:42,106750558,15,3,2530,0,230,0,168.6666666667,105.2796728899,0,0,0.0,0.0,23.7001103076,0.1686173856,6279444.58823529,13413182.5957344,53247775,2,106750556,7625039.71428571,14504578.2608603,53247775,198,105727475,52863737.5,30923922.7819415,74730253,30997222,0,0,0,0,496,100,0.140514488,0.0281028976,0,230,133.1578947368,116.6691729054,13611.6959064327,0,0,0,1,0,0,0,0,0,140.5555555556,168.6666666667,0.0,0,0,0,0,0,0,15,2530,3,0,26883,0,11,32,6154385.5,2156160.20177548,7679021,4629750,23610446.25,20670042.3415904,53247775,6656003,DoS attacks-Slowloris
21,6,14/02/2018 12:01:41,2,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1000000.0,2.0,0.0,2,2,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,500000.0,500000.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,FTP-BruteForce
0,0,15/02/2018 05:29:06,56319934,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0355114053,56319934.0,0.0,56319934,56319934,56319934,56319934.0,0.0,56319934,56319934,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0355114053,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56319934.0,0.0,56319934,56319934,Benign
80,6,16/02/2018 01:48:26,27941,2,0,0,0,0,0,0,0,0,0,0,0,0,71.57939945,27941,0,27941,27941,27941,27941,0,27941,27941,0,0,0,0,0,0,0,0,0,64,0,71.57939945,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,DoS attacks-Hulk
21,6,16/02/2018 10:17:59,20,1,1,0,0,0,0,0,0,0,0,0,0,0,100000,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,50000,50000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0,0,0,0,0,0,0,0,DoS attacks-SlowHTTPTest
21,6,14/02/2018 11:45:49,2,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1000000.0,2.0,0.0,2,2,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,500000.0,500000.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,FTP-BruteForce
21,6,16/02/2018 10:30:15,21,1,1,0,0,0,0,0,0,0,0,0,0,0,95238.09524,21,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,47619.04762,47619.04762,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0,0,0,0,0,0,0,0,DoS attacks-SlowHTTPTest
80,6,16/02/2018 01:46:23,2208,2,0,0,0,0,0,0,0,0,0,0,0,0,905.7971014,2208,0,2208,2208,2208,2208,0,2208,2208,0,0,0,0,0,0,0,0,0,64,0,905.7971014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,DoS attacks-Hulk
80,6,14/02/2018 04:32:13,5753305,4,4,97,232,97,0,24.25,48.5,232,0,58.0,116.0,57.1845226353,1.3905051097,821900.714285714,2147263.05522804,5691161,40,62144,20714.6666666667,35564.5659376483,61781,107,5753089,1917696.33333333,3321045.18855982,5752509,234,0,0,0,0,92,92,0.6952525548,0.6952525548,0,232,36.5555555556,80.0048609634,6400.7777777778,0,0,0,1,0,0,0,0,1,41.125,24.25,58.0,0,0,0,0,0,0,4,97,4,232,8192,141,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,16/02/2018 01:47:12,70925,3,0,0,0,0,0,0,0,0,0,0,0,0,42.29820233,35462.5,5138.544979,39096,31829,70925,35462.5,5138.544979,39096,31829,0,0,0,0,0,0,0,0,0,96,0,42.29820233,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,DoS attacks-Hulk
55708,6,16/02/2018 01:47:32,4050873,5,3,935,353,935,0,187,418.1447118,353,0,117.6666667,203.804645,317.9561541,1.974882945,578696.1429,1499303.299,3978367,5,4050873,1012718.25,1977318.657,3978372,37,65307,32653.5,45816.98389,65051,256,0,0,0,0,168,104,1.234301841,0.740581104,0,935,143.1111111,319.0820602,101813.3611,0,0,0,0,1,0,0,0,0,161,187,117.6666667,0,0,0,0,0,0,5,935,3,353,237,211,1,32,0,0,0,0,0,0,0,0,Benign
80,6,16/02/2018 01:45:42,1127,2,0,0,0,0,0,0,0,0,0,0,0,0,1774.622893,1127,0,1127,1127,1127,1127,0,1127,1127,0,0,0,0,0,0,0,0,0,64,0,1774.622893,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,DoS attacks-Hulk
50896,6,15/02/2018 12:30:55,31,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,64516.1290322581,31.0,0.0,31,31,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,32258.064516129,32258.064516129,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,176,258,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,14/02/2018 01:09:37,314,1,1,33,65,33,33,33.0,0.0,65,65,65.0,0.0,312101.910828025,6369.4267515924,314.0,0.0,314,314,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,3184.7133757962,3184.7133757962,33,65,43.6666666667,18.4752086141,341.3333333333,0,0,0,0,0,0,0,0,1,65.5,33.0,65.0,0,0,0,0,0,0,1,33,1,65,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,16/02/2018 01:45:29,603,2,0,0,0,0,0,0,0,0,0,0,0,0,3316.749585,603,0,603,603,603,603,0,603,603,0,0,0,0,0,0,0,0,0,64,0,3316.749585,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,DoS attacks-Hulk
53,17,15/02/2018 09:42:58,1414,1,1,40,101,40,40,40.0,0.0,101,101,101.0,0.0,99717.1145685997,1414.4271570014,1414.0,0.0,1414,1414,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,707.2135785007,707.2135785007,40,101,60.3333333333,35.2183664206,1240.3333333333,0,0,0,0,0,0,0,0,1,90.5,40.0,101.0,0,0,0,0,0,0,1,40,1,101,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,6,14/02/2018 04:57:03,70258258,27,35,1393,20904,236,0,51.5925925926,74.2906243485,1460,0,597.2571428571,688.4004196797,317.3577118863,0.8824585432,1151774.72131148,7464554.11683841,58232854,1,67707026,2604116.38461538,11386656.721047,58232854,44,70247460,2066101.76470588,9986579.0413679,58333934,1,0,0,0,0,552,712,0.3842964623,0.4981620808,0,1460,353.9206349206,580.8988391635,337443.461341526,0,0,0,1,0,0,0,0,1,359.6290322581,51.5925925926,597.2571428571,0,0,0,0,0,0,27,1393,35,20904,8192,270,11,20,9411932.0,0.0,9411932,9411932,58232854.0,0.0,58232854,58232854,Benign
443,6,14/02/2018 04:43:36,279547,12,12,550,9279,199,0,45.8333333333,79.1234172133,1460,0,773.25,654.166940745,35160.4560234952,85.8531839011,12154.2173913043,37362.9479175152,175077,0,279547,25413.3636363636,51999.7098766382,175077,18,38009,3455.3636363636,7888.4795274213,24698,0,0,0,0,0,252,252,42.9265919505,42.9265919505,0,1460,393.16,581.3765761822,337998.723333333,0,0,0,1,0,0,0,0,1,409.5416666667,45.8333333333,773.25,0,0,0,0,0,0,12,550,12,9279,8192,288,4,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,15/02/2018 11:34:26,38250,1,1,30,234,30,30,30.0,0.0,234,234,234.0,0.0,6901.9607843137,52.2875816993,38250.0,0.0,38250,38250,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,26.1437908497,26.1437908497,30,234,98.0,117.7794549147,13872.0,0,0,0,0,0,0,0,0,1,147.0,30.0,234.0,0,0,0,0,0,0,1,30,1,234,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,14/02/2018 10:00:10,58147,2,2,84,310,42,42,42.0,0.0,155,155,155.0,0.0,6775.9299705918,68.7911672141,19382.3333333333,16792.6896694167,30260,42,30260,30260.0,0.0,30260,30260,42,42.0,0.0,42,42,0,0,0,0,16,16,34.3955836071,34.3955836071,42,155,87.2,61.8926489981,3830.7,0,0,0,0,0,0,0,0,1,109.0,42.0,155.0,0,0,0,0,0,0,2,84,2,310,-1,-1,1,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,15/02/2018 12:27:18,56090,2,2,102,272,51,51,51.0,0.0,136,136,136.0,0.0,6667.8552326618,71.3139597076,18696.6666666667,31458.3423646786,55021,349,55741,55741.0,0.0,55741,55741,55370,55370.0,0.0,55370,55370,0,0,0,0,16,16,35.6569798538,35.6569798538,51,136,85.0,46.5564173879,2167.5,0,0,0,0,0,0,0,0,1,106.25,51.0,136.0,0,0,0,0,0,0,2,102,2,272,-1,-1,1,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,15/02/2018 02:48:26,84,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,23809.5238095238,84.0,0.0,84,84,84,84.0,0.0,84,84,0,0.0,0.0,0,0,0,0,0,0,40,0,23809.5238095238,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,278,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,16/02/2018 01:45:37,50642,3,0,0,0,0,0,0,0,0,0,0,0,0,59.23936653,25321,21242.90192,40342,10300,50642,25321,21242.90192,40342,10300,0,0,0,0,0,0,0,0,0,96,0,59.23936653,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,DoS attacks-Hulk
21,6,14/02/2018 11:53:56,21,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,95238.0952380952,21.0,0.0,21,21,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,47619.0476190476,47619.0476190476,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,FTP-BruteForce
